date,news_count,avg_sentiment,max_sentiment,min_sentiment,high_impact_count,medium_impact_count,negative_count
2016-01-01,1,0.0,0.0,0.0,0,0,0
2016-01-02,3,-0.0911,0.0,-0.2732,0,1,1
2016-01-03,2,0.0,0.0,0.0,0,0,0
2016-01-04,3,0.1872,0.4588,0.0,0,2,0
2016-01-05,2,0.0,0.0,0.0,0,0,0
2016-01-06,1,0.0,0.0,0.0,0,0,0
2016-01-07,11,0.054,0.3612,-0.128,0,3,1
2016-01-08,4,0.0549,0.7717,-0.296,1,3,3
2016-01-09,2,0.0,0.0,0.0,0,0,0
2016-01-10,1,0.6369,0.6369,0.6369,1,0,0
2016-01-11,2,0.2294,0.4588,0.0,0,1,0
2016-01-12,5,0.0356,0.1779,0.0,0,1,0
2016-01-13,5,0.0848,0.5859,-0.34,1,2,1
2016-01-14,2,0.2294,0.4588,0.0,0,1,0
2016-01-15,8,-0.0502,0.0,-0.2732,0,2,2
2016-01-16,5,0.1198,0.5859,-0.296,1,2,1
2016-01-18,2,0.0,0.0,0.0,0,0,0
2016-01-19,1,0.0,0.0,0.0,0,0,0
2016-01-20,5,0.0027,0.4404,-0.5719,1,3,2
2016-01-21,4,0.1726,0.4404,0.0,0,2,0
2016-01-22,5,0.0881,0.4404,0.0,0,1,0
2016-01-23,3,0.2802,0.4588,0.0,0,2,0
2016-01-24,1,0.0,0.0,0.0,0,0,0
2016-01-25,4,0.0,0.0,0.0,0,0,0
2016-01-26,7,-0.0021,0.2584,-0.2732,0,2,1
2016-01-27,1,0.4404,0.4404,0.4404,0,1,0
2016-01-28,3,-0.0503,0.4404,-0.3182,0,3,2
2016-01-29,8,0.2045,0.6808,-0.2732,1,6,1
2016-01-30,4,0.0366,0.7456,-0.4215,1,2,2
2016-01-31,3,0.1273,0.3818,0.0,0,1,0
2016-02-01,5,0.0373,0.4404,-0.5719,1,2,1
2016-02-02,6,-0.0192,0.7003,-0.5423,2,1,2
2016-02-03,2,-0.3404,0.0,-0.6808,1,0,1
2016-02-04,1,0.1779,0.1779,0.1779,0,1,0
2016-02-05,5,0.0575,0.4404,-0.1531,0,2,1
2016-02-06,5,0.1119,0.3818,0.0,0,2,0
2016-02-07,2,-0.2384,0.0,-0.4767,0,1,1
2016-02-08,1,-0.2263,-0.2263,-0.2263,0,1,1
2016-02-09,5,0.0714,0.4588,-0.5423,1,2,1
2016-02-10,1,-0.1027,-0.1027,-0.1027,0,1,1
2016-02-11,14,0.0316,0.4404,-0.7269,2,7,3
2016-02-12,7,-0.0051,0.6759,-0.5423,2,3,3
2016-02-13,6,-0.0021,0.4215,-0.3182,0,4,2
2016-02-14,2,-0.3502,0.0,-0.7003,1,0,1
2016-02-15,3,-0.3849,0.0,-0.5829,2,0,2
2016-02-16,5,0.219,0.4767,0.0,0,3,0
2016-02-17,5,-0.1807,0.0,-0.5423,1,1,2
2016-02-18,1,-0.5423,-0.5423,-0.5423,1,0,1
2016-02-19,2,0.0,0.0,0.0,0,0,0
2016-02-20,3,-0.0552,0.128,-0.4215,0,3,1
2016-02-21,3,-0.0911,0.0,-0.2732,0,1,1
2016-02-23,3,0.0,0.0,0.0,0,0,0
2016-02-24,5,-0.2569,0.0,-0.7578,2,0,2
2016-02-25,2,0.0,0.0,0.0,0,0,0
2016-02-26,2,0.1591,0.3182,0.0,0,1,0
2016-02-27,1,-0.4767,-0.4767,-0.4767,0,1,1
2016-02-28,2,0.0,0.0,0.0,0,0,0
2016-02-29,5,0.0,0.0,0.0,0,0,0
2016-03-01,4,-0.0439,0.3818,-0.5574,1,1,1
2016-03-02,4,0.2497,0.6808,0.0,1,1,0
2016-03-03,8,-0.0791,0.4019,-0.4215,0,6,4
2016-03-04,7,-0.0668,0.34,-0.5574,1,2,2
2016-03-05,2,-0.3124,0.0,-0.6249,1,0,1
2016-03-06,1,0.0,0.0,0.0,0,0,0
2016-03-07,4,0.0,0.296,-0.296,0,2,1
